#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2017.0,,11200,I.B.I. RUSTICA,117306.54,0.0,117306.54,125419.18
2017.0,,11300,I.B.I. URBANA,3519097.31,0.0,3519097.31,3952306.66
2017.0,,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECAN.,350000.0,0.0,350000.0,381984.6
2017.0,,11600,IMPTO. I.V.T.M.U. (Plus-Valías),400000.0,0.0,400000.0,987373.86
2017.0,,13000,ACTIVIDADES ECONÓMICAS,353812.66,0.0,353812.66,420851.13
2017.0,,13100,RECARGO PROVINCIAL SOBRE EL I.A.E.,70287.41,0.0,70287.41,91961.1
2017.0,,29000,IMPTOS. SOBRE CONSTRUCCIONES E INSTALACIONES (ICO),60000.0,0.0,60000.0,70556.58
2017.0,,30200,T.P.S. RECOGIDA BASURAS,210685.72,0.0,210685.72,251810.48
2017.0,,30500,LONJAS Y MERCADOS,25000.0,0.0,25000.0,23441.0
2017.0,,30901,CEMENTERIO,4000.0,0.0,4000.0,5315.0
2017.0,,31200,T. ACTIVIDADES SERVICIOS EDUCATIVOS,30000.0,0.0,30000.0,38319.98
2017.0,,31300,TASA ACTIVIDADES CONCEJALIA DEPORTES,1000.0,0.0,1000.0,1390.5
2017.0,,31900,TASA ACTIVIDADES CONCEJALIA CULTURA,15000.0,0.0,15000.0,6484.0
2017.0,,31901,TASA ACTIVIDADES CONCEJALIA FIESTAS,5000.0,0.0,5000.0,10287.97
2017.0,,31902,ACTIVIDADES CONCEJALIA MEDIO AMBIENTE,0.0,0.0,0.0,0.0
2017.0,,31903,ACTIVIDADES CONCEJALIA SANIDAD,0.0,0.0,0.0,804.0
2017.0,,31904,CONCEJALIA DE JUVENTUD,0.0,0.0,0.0,0.0
2017.0,,31905,CONCEJALIA DE TURISMO,0.0,0.0,0.0,265.48
2017.0,,32100,T.P.S. LICENCIAS URBANISTICAS,25000.0,0.0,25000.0,8724.87
2017.0,,32200,T.P.S. CEDULA HABITABILIDAD,1000.0,0.0,1000.0,1258.0
2017.0,,32300,OTROS SERV. URBANISTICOS,10000.0,0.0,10000.0,22504.28
2017.0,,32500,T.P.S. EXPEDICION DE DOCUMENTOS,0.0,0.0,0.0,384.0
2017.0,,32600,RETIRADA VEHÍCULOS VÍA PÚBLICA,12000.0,0.0,12000.0,21697.0
2017.0,,32900,PRUEBAS SELECTIVAS,1000.0,0.0,1000.0,4290.0
2017.0,,33000,TASA POR ESTACIONAMIENTO DE VEHICULOS,0.0,0.0,0.0,0.0
2017.0,,33001,"T. ODPL OCUP. SUELO, VUELO Y SUBSUELO T. USO PCO.  L.",0.0,0.0,0.0,0.0
2017.0,,33004,"T. ODPL BARRACAS, PUESTOS DE VENTA ...",0.0,0.0,0.0,1086.7
2017.0,,33100,T. ODPL ENTRADA VEHIC. EDIF. Y RESER. APARC. VADOS,55000.0,0.0,55000.0,56823.81
2017.0,,33200,"T. UTILIZ PRIV APROV ESPECIAL EMPRESAS EXPL SERV (SUELO, VUE",0.0,0.0,0.0,203744.99
2017.0,,33500,T. ODPL OCUPAC. VIA PÚBLICA CON MESAS Y SILLAS,15000.0,0.0,15000.0,19225.14
